[20/04/2023 14:33:48] [INFO] received Windows console close event; shutting log-core down
[20/04/2023 14:47:41] [INFO] received Windows console close event; shutting log-core down
[20/04/2023 15:05:27] [INFO] received Windows console close event; shutting log-core down
[20/04/2023 15:06:19] [INFO] received Windows console close event; shutting log-core down
[20/04/2023 15:13:30] [INFO] received Windows console close event; shutting log-core down
[20/04/2023 15:13:31] [INFO] received Windows console close event; shutting log-core down
[20/04/2023 20:51:33] [INFO] received Windows console close event; shutting log-core down
[20/04/2023 20:55:56] [INFO] received Windows console close event; shutting log-core down
[20/04/2023 20:57:27] [INFO] received Windows console close event; shutting log-core down
[21/04/2023 12:31:01] [INFO] received Windows console close event; shutting log-core down
[21/04/2023 13:36:47] [INFO] received Windows console close event; shutting log-core down
[21/04/2023 13:59:40] [INFO] received Windows console close event; shutting log-core down
[21/04/2023 14:21:11] [INFO] received Windows console close event; shutting log-core down
[21/04/2023 16:26:11] [INFO] received Windows console close event; shutting log-core down
[21/04/2023 16:27:18] [INFO] received Windows console close event; shutting log-core down
[21/04/2023 16:49:09] [INFO] received Windows console close event; shutting log-core down
[22/04/2023 12:41:26] [INFO] received Windows console close event; shutting log-core down
[22/04/2023 12:48:13] [INFO] received Windows console close event; shutting log-core down
[30/04/2023 22:27:35] [INFO] received Windows console close event; shutting log-core down
[30/04/2023 22:42:02] [INFO] received Windows console close event; shutting log-core down
[30/04/2023 22:48:34] [INFO] received Windows console close event; shutting log-core down
[30/04/2023 22:53:53] [INFO] received Windows console close event; shutting log-core down
[30/04/2023 22:59:34] [INFO] received Windows console close event; shutting log-core down
[30/04/2023 23:06:53] [INFO] received Windows console close event; shutting log-core down
